"ID","FACILITY_NAME","STREET_ADDRESS","CITY_NAME","COUNTY_NAME","STATE_COUNTY_FIPS_CODE","STATE_ABBR","ZIP_CODE","REGION","FAC_CLOSED_IND","MAIL_NAME","MAIL_STREET_ADDRESS","MAIL_CITY","MAIL_STATE_ABBR","MAIL_PROVINCE","MAIL_COUNTRY","MAIL_ZIP_CODE","ASGN_FEDERAL_IND","ASGN_AGENCY","FRS_ID","PARENT_CO_DB_NUM","PARENT_CO_NAME","FAC_LATITUDE","FAC_LONGITUDE","PREF_LATITUDE","PREF_LONGITUDE","PREF_ACCURACY","PREF_COLLECT_METH","PREF_DESC_CATEGORY","PREF_HORIZONTAL_DATUM","PREF_SOURCE_SCALE","PREF_QA_CODE","ASGN_PARTIAL_IND","ASGN_PUBLIC_CONTACT","ASGN_PUBLIC_PHONE","ASGN_PUBLIC_CONTACT_EMAIL","BIA_CODE","STANDARDIZED_PARENT_COMPANY","ASGN_PUBLIC_PHONE_EXT","EPA_REGISTRY_ID"
"15108BPXPL510NA","BP PRODUCTS NA INC - CORAOPOLIS TERMINAL","3200 UNIVERSITY BLVD","CORAOPOLIS","ALLEGHENY",42003,"PA",15108,3,0,"BP PRODUCTS NA INC - CORAOPOLIS TERMINAL","3200 UNIVERSITY BLVD","CORAOPOLIS","PA",NA,NA,"15108","C",NA,NA,"039596507","BP AMERICA INC",403140,801112,NA,NA,NA,NA,NA,NA,NA,NA,0,"ROBERT TWORKOWSKI",4106366416,"ROBERT.TWORKOWSKI@BP.COM",NA,NA,NA,110022532801
"15148WSTNG1000A","WESTINGHOUSE AIR BRAKE DIV","1000 AIR BRAKE AVE","WILMERDING","ALLEGHENY",42003,"PA",151480001,3,0,"WESTINGHOUSE AIR BRAKE DIV","1000 AIR BRAKE AVE","WILMERDING","PA",NA,NA,"15148-0001","C",NA,NA,"001344621","AMERICAN STANDARD COS INC",402350,794848,40.397222,79.813333,11000,"UN","UN","1","U","1000",0,"TODD R. SHINGLETON",4128251609,NA,NA,NA,NA,NA
"15108MRCNC641FO","AMERICAN CHEMSOL CORP","641 4TH AVE","CORAOPOLIS","ALLEGHENY",42003,"PA",15108,3,1,"AMERICAN CHEMSOL CORP","641 4TH AVE","CORAOPOLIS","PA",NA,NA,"15108","C",NA,NA,"013996335","AMERICAN CHEMSOL CORP",NA,NA,40.5215,80.1724,150,"A1","PG","1","J","1000",0,"SCOTT MESSER",4122645464,NA,NA,NA,NA,NA
"15139DGWTR300CO","EDGEWATER STEEL LTD","300 COLLEGE AVE","OAKMONT","ALLEGHENY",42003,"PA",15139,3,0,"EDGEWATER STEEL LTD","300 COLLEGE AVE","OAKMONT","PA",NA,NA,"15139","C",NA,NA,NA,NA,403046,795042,40.512778,79.845,11000,"UN","UN","1","U","1000",0,"TED LOHEYDE",4125177200,NA,NA,NA,NA,NA
"15104SSDGRBRADD","USS MON VALLEY WORKS - EDGAR THOMSON PLANT","BRADDOCK AVE & 13TH ST","BRADDOCK","ALLEGHENY",42003,"PA",15104,3,0,"USS MON VALLEY WORKS - EDGAR THOMSON PLANT","BRADDOCK AVE & 13TH ST","BRADDOCK","PA",NA,NA,"15104","C",NA,NA,"029990699","US STEEL CORP",402331,795132,40.391944,79.858889,150,"UN","UN","1","U","1010",0,"MEGHAN COX",4124336777,"MMCOX@USS.COM",NA,"US STEEL CORP",NA,110001116934
"15034SSRVNPOBOX","USS MON VALLEY WORKS - IRVIN PLANT","CAMP HOLLOW RD","WEST MIFFLIN","ALLEGHENY",42003,"PA",15122,3,0,"USS MON VALLEY WORKS - IRVIN PLANT","PO BOX 878","DRAVOSBURG","PA",NA,NA,"15034","C",NA,NA,"029990699","US STEEL CORP",402300,795040,40.3542,79.89,500,"I1","UN","1","J","1000",0,"MEGHAN COX",4124336777,"MMCOX@USS.COM",NA,"US STEEL CORP",NA,110008470724
"15233THVLS2000W","SHERWIN-WILLIAMS CO","2000 WESTHALL ST","PITTSBURGH","ALLEGHENY",42003,"PA",15233,3,0,"SHERWIN-WILLIAMS CO","2000 WESTHALL ST","PITTSBURGH","PA",NA,NA,"15233","C",NA,NA,"004206397","THE SHERWIN-WILLIAMS CO",402820,800235,40.472222,80.043056,150,"UN","UN","1","U","1010",0,"R. SCOTT THOMAS",2165662182,"RSTHOMAS@SHERWIN.COM",NA,"THE SHERWIN-WILLIAMS CO",NA,110000329715
"15220NVRSL1000S","UNIVERSAL AUTO RADIATOR MANUFACTURING CO","1000 SAW MILL RUN BLVD","PITTSBURGH","ALLEGHENY",42003,"PA",152206246,3,0,"UNIVERSAL AUTO RADIATOR MFG. CO.","P.O BOX 16246","PITTSBURGH","PA",NA,NA,"15220-6246","C",NA,NA,NA,NA,402529,800141,40.424722,80.028056,150,"UN","UN","1","U","1010",0,"DAVID RICHARDSON",4124819440,NA,NA,NA,NA,NA
"15239DLNCX535OL","IDL INC","535 OLD FRANKSTOWN RD","PITTSBURGH","ALLEGHENY",42003,"PA",15239,3,0,"IDL INC","4520 OLD WILLIAM PENN HWY","PITTSBURGH","PA",NA,NA,"15146-1626","C",NA,NA,NA,NA,402744,794544,40.462222,79.762222,150,"UN","UN","1","U","1010",0,"NANCY BAYLISS",4127982500,NA,NA,NA,NA,NA
"15215HNRYMALIST","HENRY MILLER SPRING & MFG CO","ALI ST","SHARPSBURG","ALLEGHENY",42003,"PA",15215,3,0,"HENRY MILLER SPRING & MFG CO","ALI ST","SHARPSBURG","PA",NA,NA,"15215","C",NA,NA,"055403752","STANDARD CAR TRUCK",402951,795600,NA,NA,NA,NA,NA,NA,NA,NA,0,"DAVID J. JABLONOWSKI",4127820700,NA,NA,NA,NA,NA
"15106NNLCT726BE","UNION ELECTRIC STEEL CORP","726 BELL ST","CARNEGIE","ALLEGHENY",42003,"PA",15106,3,0,"UNION ELECTRIC STEEL CORP","PO BOX 465","CARNEGIE","PA",NA,NA,"15106","C",NA,NA,"004327862","AMPCO-PITTSBURGH CORP",402506,800436,40.416667,80.078889,150,"UN","UN","1","U","1010",0,"JIMMY WALKER",4124292481,"JWALKER@AMPCOPGH.COM",NA,"AMPCO-PITTSBURGH CORP",NA,110000329243
"15056HSSYC100WA","LIBERTAS COPPER LLC","100 WASHINGTON ST","LEETSDALE","ALLEGHENY",42003,"PA",15056,3,0,"LIBERTAS COPPER LLC","100 WASHINGTON ST","LEETSDALE","PA",NA,NA,"15056","C",NA,NA,NA,NA,403415,801330,40.570833,80.225,500,"UN","UN","1","U","1010",0,"JEFFREY T. KIRK",7242514284,"JKIRK@HUSSEYCOPPER.COM",NA,"LIBERTAS COPPER LLC",NA,110000328994
"15088HRCLSSTATE","EASTMAN CHEMICAL RESINS INC","STATE HWY 837","WEST ELIZABETH","ALLEGHENY",42003,"PA",15088,3,0,"EASTMAN CHEMICAL RESINS INC","PO BOX 545","WEST ELIZABETH","PA",NA,NA,"15088","C",NA,NA,"808898381","EASTMAN CHEMICAL CO",401500,795410,40.266667,79.902778,500,"UN","UN","1","U","1010",0,"EUGENE INGRAM",4123842520,"EMINGRAM@EASTMAN.COM",NA,"EASTMAN CHEMICAL CO",NA,110000583057
"15225PTTDS3400G","PITT-DESMOINES INC","3400 GRAND AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15225,3,0,"PITT-DESMOINES INC","3400 GRAND AVE","PITTSBURGH","PA",NA,NA,"15225","C",NA,NA,NA,NA,403022,800634,40.506111,80.109444,150,"UN","UN","1","U","1010",0,"JOHN STOLAR",4123313000,NA,NA,NA,NA,NA
"15146CMPNT2000E","COMPUNETICS INC","700 SECO RD","MONROEVILLE","ALLEGHENY",42003,"PA",15146,3,0,"COMPUNETICS INC","700 SECO RD","MONROEVILLE","PA",NA,NA,"15146","C",NA,NA,NA,NA,402648,794523,40.447188,79.757708,150,"A1","PG","1","J","1000",0,"ADEODATO VIGANO",4125123493,"AVIGANO@COMPUNETICS.COM",NA,NA,NA,110000841858
"15201PNNZL54THS","PENNZOIL-QUAKER STATE CO PITTSBURGH TERMINAL","54TH ST & AVRR","PITTSBURGH","ALLEGHENY",42003,"PA",15201,3,0,"PENNZOIL-QUAKER STATE CO PITTSBURGH TERMINAL","54TH ST & AVRR","PITTSBURGH","PA",NA,NA,"15201","C",NA,NA,"161809744","PENNZOIL-QUAKER STATE CO",402904,795715,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"15202PTTSB1HERR","PITTSBURGH INDL PLATING","1 HERRON AVE","PITTSBURGH","ALLEGHENY",42003,"PA",15202,3,0,"WHEATLAND TUBE CO.","1 COUNCIL AVE.","WHEATLAND","PA",NA,NA,"16161-0608","C",NA,NA,"007913981","JOHN MANEELY CO",403000,803000,40.5,80.5,99999,"UN","UN","U","U","0000",0,"ARTHUR HALL",7243426851,NA,NA,NA,NA,NA
"15204FRRCR60GRE","FERRO CORP COLOR DIV","60 GREENWAY DR","PITTSBURGH","ALLEGHENY",42003,"PA",152042599,3,0,"FERRO CORP COLOR DIV","60 GREENWAY DR","PITTSBURGH","PA",NA,NA,"15204-2599","C",NA,NA,"004161477","FERRO CORP",402659,800211,40.4514,80.0514,150,"A1","PG","1","J","1000",0,"JIM QUINN",2168756117,NA,NA,NA,NA,NA
"15024RDLND230RI","REDLAND BRICK INC- HARMAR PLANT","26 RICH HILL RD","CHESWICK","ALLEGHENY",42003,"PA",15024,3,0,"REDLAND BRICK INC- HARMAR PLANT","26 RICH HILL RD","CHESWICK","PA",NA,NA,"15024","C",NA,NA,"004468690","THE BELDEN BRICK CO",403324,795009,NA,NA,NA,NA,NA,NA,NA,NA,0,"JOHN STREB",3302652030,"JOHN.STREB@BELDENBRICK.COM",NA,"BELDEN HOLDING & ACQUISITION INC",1316,110013288478
"15135VSTMT1024E","VISTA METALS INC","1024 E SMITHFIELD ST","MC KEESPORT","ALLEGHENY",42003,"PA",15135,3,0,"VISTA METALS INC","1024 E SMITHFIELD ST","MC KEESPORT","PA",NA,NA,"15135","C",NA,NA,NA,"VISTA METALS CORP",401900,794757,40.316667,79.799167,11000,"UN","UN","1","U","1000",0,"JAMES L. HARCHELROAD",4127514600,"JHARCHELROAD@VISTAMETALSINC.COM",NA,"VISTA METALS CORP",261,110000329350
"15044MLMPY22FRO","MELAMPY MANUFACTURING CO","22 FRONTIER DR","GIBSONIA","ALLEGHENY",42003,"PA",15044,3,0,"MELAMPY MANUFACTURING CO","22 FRONTIER DR","GIBSONIA","PA",NA,NA,"15044","C",NA,NA,"055403752","STANDARD CAR TRUCK",403653,795423,NA,NA,NA,NA,NA,NA,NA,NA,0,"DAVID P. KULBACKI",7244430841,"DKULBACKI@STDCAR.COM",NA,NA,NA,110000328930
"15104MTRCL100TA","MOTOR COILS MFG CO","100 TALBOT AVE","BRADDOCK","ALLEGHENY",42003,"PA",15104,3,0,"MOTOR COILS MFG CO","100 TALBOT AVE","BRADDOCK","PA",NA,NA,"15104","C",NA,NA,"859875437","WABTEC CO",402501,795001,40.405187,79.875583,150,"A1","PG","1","J","1000",0,"RON SHANNON",4122734900,NA,NA,NA,NA,NA
"15201SNCNC5733B","SUNOCO PARTNERS MARKETING & TERMINALS L. P. PITTSBURGH TERM","5733 BUTLER ST","PITTSBURGH","ALLEGHENY",42003,"PA",15201,3,0,"RON O'TOOLE","5733 BUTLER ST","PITTSBURGH","PA",NA,NA,"15201","C",NA,NA,"064717981","SUNOCO PARTNERS MARKETING & TERMINALS LP",403000,795900,NA,NA,NA,NA,NA,NA,NA,NA,0,"RON O'TOOLE",4127843472,NA,NA,NA,NA,110064194107
"15106VVNDMWESTN","VIVIANO MACARONI CO, GROCERY","W NOBLESTOWN RD","CARNEGIE","ALLEGHENY",42003,"PA",15106,3,0,"VIVIANO MACARONI CO, GROCERY","W NOBLESTOWN RD","CARNEGIE","PA",NA,NA,"15106","C",NA,NA,"001338797","BORDEN INC",402612,8e+05,40.3961,80.1119,500,"I1","UN","1","J","1000",0,"BORDEN PUBLIC AFFAIRS COLUMBUS OHIO",6142254422,NA,NA,NA,NA,NA
"15056CDMFGAVEBX","CODO MANUFACTURING CORP","7 AVE B BUNCHER INDUSTRIAL DISTRICT","LEETSDALE","ALLEGHENY",42003,"PA",150560056,3,0,"CODO MANUFACTURING CORP","7 AVE B BUNCHER INDUSTRIAL DISTRICT","LEETSDALE","PA",NA,NA,"15056-0056","C",NA,NA,NA,NA,403337,801232,40.560278,80.208889,11000,"UN","UN","1","U","1000",0,"GARY T WARZYNSKI",4127412010,NA,NA,NA,NA,NA
"15225SHLND2650N","INEOS COMPOSITES US LLC","2650 NEVILLE RD","PITTSBURGH","ALLEGHENY",42003,"PA",15225,3,0,"INEOS COMPOSITES US LLC","2650 NEVILLE RD","PITTSBURGH","PA",NA,NA,"15225","C",NA,NA,"116877629","INEOS COMPOSITES US LLC",403000,800500,NA,NA,NA,NA,NA,NA,NA,NA,0,"KARA LONG",6147909295,"KARA.LONG@INEOSCOMPOSITES.COM",NA,NA,NA,110000329653
"15106THPTTKEYST","THEPITT MFG CO","KEYSTONE DR","CARNEGIE","ALLEGHENY",42003,"PA",151060000,3,1,"THEPITT MFG CO","KEYSTONE DR","CARNEGIE","PA",NA,NA,"15106-0000","C",NA,NA,NA,"RE-HIDE INC",402357,800720,40.399167,80.122222,11000,"UN","UN","1","U","1000",0,"RONALD D. ROESSLER",NA,NA,NA,NA,NA,NA
"15106TLDYNARCHS","TELEDYNE INC, TELEDYNE COLUMBIA SUMMERILL","ARCH ST","CARNEGIE","ALLEGHENY",42003,"PA",15106,3,1,"TELEDYNE INC, TELEDYNE COLUMBIA SUMMERILL","ARCH ST","CARNEGIE","PA",NA,NA,"15106","C",NA,NA,NA,"ALLEGHENY TELEDYNE INC",402505,800442,40.418056,80.078333,11000,"UN","UN","1","U","1000",0,NA,NA,NA,NA,NA,NA,NA
"15139TRNGL931TH","GLOBAL CIRCUITS INC.","931 3RD ST","OAKMONT","ALLEGHENY",42003,"PA",15139,3,0,"GLOBAL CIRCUITS INC.","931 3RD ST","OAKMONT","PA",NA,NA,"15139","C",NA,NA,NA,"MBG TECHNOLOGIES INC.",403137,795033,40.526389,79.843056,150,"UN","UN","1","U","1010",0,"JAMES R CLARK",4128285322,"JCLARK@GLOBALCIRCUITS.COM",NA,"MBG TECHNOLOGIES INC",NA,110000329396
